zone,class,rank,monster,area,x,y
Central Shroud,Gladiator,4,Deathgaze,Sorrel Haven,17.0,22.0
Central Shroud,Gladiator,4,Floating Eye,Sorrel Haven,11.0,22.0
Central Shroud,Marauder,3,Floating Eye,Sorrel Haven,11.0,22.0
Central Shroud,Marauder,3,Toadstool,,15.4,18.3
Central Shroud,Marauder,4,Stroper,Sorrel Haven,13.6,22.5
Central Shroud,Marauder,5,Crater Golem,The Standing Corses,10.0,17.8
Central Shroud,Lancer,1,Anole,,30.0,19.0
Central Shroud,Lancer,1,Black Eft,,,
Central Shroud,Lancer,1,Bog Yarzon,,24.0,24.0
Central Shroud,Lancer,1,Diremite,,19.6,18.7
Central Shroud,Lancer,1,Forest Funguar,,24.7,18.6
Central Shroud,Lancer,1,Ground Squirrel,,22.3,17.6
Central Shroud,Lancer,1,Hoglet,,28.9,23.1
Central Shroud,Lancer,1,Little Ladybug,,24.7,18.6
Central Shroud,Lancer,1,Microchu,,29.4,19.6
Central Shroud,Lancer,1,Tree Slug,,25.0,29.0
Central Shroud,Lancer,2,Arbor Buzzard,,28.0,29.0
Central Shroud,Lancer,2,Treant Sapling,,27.0,15.0
Central Shroud,Lancer,4,Floating Eye,Sorrel Haven,11.0,22.0
Central Shroud,Lancer,4,Spriggan,,11.8,15.8
Central Shroud,Pugilist,3,Lindwurm,Sorrel Haven,13.0,20.0
Central Shroud,Pugilist,4,Deathgaze,Sorrel Haven,17.0,22.0
Central Shroud,Archer,1,Anole,,30.0,19.0
Central Shroud,Archer,1,Black Eft,,,
Central Shroud,Archer,1,Forest Funguar,,24.7,18.6
Central Shroud,Archer,1,Ground Squirrel,,22.3,17.6
Central Shroud,Archer,1,Roselet,,22.7,27.4
Central Shroud,Archer,1,Trickster Imp,,27.0,24.0
Central Shroud,Archer,1,Water Sprite,,23.0,23.0
Central Shroud,Archer,2,Arbor Buzzard,,28.0,29.0
Central Shroud,Archer,2,Hornet Swarm,,14.6,24.7
Central Shroud,Archer,2,Magicked Bones,,19.1,27.6
Central Shroud,Archer,2,Treant Sapling,,27.0,15.0
Central Shroud,Archer,3,Toadstool,,15.4,18.3
Central Shroud,Archer,4,Floating Eye,Sorrel Haven,11.0,22.0
Central Shroud,Archer,4,Spriggan,,11.8,15.8
Central Shroud,Conjurer,1,Chigoe,,27.0,22.0
Central Shroud,Conjurer,1,Forest Funguar,,24.7,18.6
Central Shroud,Conjurer,1,Ground Squirrel,,22.3,17.6
Central Shroud,Conjurer,1,Little Ladybug,,24.7,18.6
Central Shroud,Conjurer,1,Syrphid Swarm,,27.8,24.3
Central Shroud,Conjurer,1,Water Sprite,,23.0,23.0
Central Shroud,Conjurer,2,Arbor Buzzard,,28.0,29.0
Central Shroud,Conjurer,2,Firefly,,19.0,27.0
Central Shroud,Conjurer,2,Tree Slug,,25.0,29.0
Central Shroud,Conjurer,3,Toadstool,,15.4,18.3
Central Shroud,Conjurer,4,Lindwurm,Sorrel Haven,13.0,20.0
Central Shroud,Conjurer,4,Revenant,,11.8,20.2
Central Shroud,Thaumaturge,3,Stroper,Sorrel Haven,13.6,22.5
Central Shroud,Thaumaturge,4,Revenant,,11.8,20.2
Central Shroud,Thaumaturge,4,Spriggan,,11.8,15.8
Central Shroud,Thaumaturge,5,Crater Golem,The Standing Corses,10.0,17.8
Central Shroud,Arcanist,3,Brood Ziz,Sorrel Haven,15.7,20.3
Central Shroud,Arcanist,3,Lindwurm,Sorrel Haven,13.0,20.0
Central Thanalan,Gladiator,1,Antling Soldier,The Clutch,22.3,19.7
Central Thanalan,Gladiator,1,Antling Worker,Black Brush,22.0,18.0
Central Thanalan,Gladiator,1,Qiqirn Shellsweeper,Black Brush,16.0,19.0
Central Thanalan,Gladiator,1,Snapping Shrew,Spineless Basin,21.9,25.7
Central Thanalan,Gladiator,1,Spriggan Graverobber,Black Brush,17.0,23.0
